,darija,eng
0,8chich,fragile
1,cha3l,angry
2,DaSr,naughty
3,moudmin,addicted
4,modmin,addicted
5,moudmine,addicted
6,ghabyy,stupid
7,ghaby,stupid
8,mkllkh,stupid
9,mkallakh,stupid
10,mkellekh,stupid
11,mkallekh,stupid
12,mjllj,stupid
13,mjellej,stupid
14,mjallaj,stupid
15,mjallej,stupid
16,kbir,big
17,kabir,big
18,sghir,small
19,saghir,small
20,m8rrs,broken
21,mhrrs,broken
22,m8arras,broken
23,m8erras,broken
24,momill,boring
25,Sl3,bald
26,Sla3,bald
27,Sle3,bald
28,ghliD,fat
29,Tebbouz,fat
30,Tebbouzi,fat
31,r9i9,thin
32,rqiq,thin
33,Twil,tall
34,Twel,tall
35,9Sir,short
36,9ssir,short
37,zwin,beautiful
38,bogos,handsome
39,khayb,ugly
40,khayeb,ugly
41,5ayb,ugly
42,8bil,crazy
43,hbil,crazy
44,mSTTi,crazy
45,mSaTTi,crazy
46,mSeTTi,crazy
47,3aamr,full
48,aamr,full
49,3amer,full
50,3amr,full
51,jdid,new
52,9dim,old
53,qdim,old
54,charf,old
55,chaarf,old
56,S3ib,hard
57,9as7,hard
58,9aas7,hard
59,sa8l,easy
60,sahl,easy
61,m3TTl,late
62,m3eTTel,late
63,m3aTTel,late
64,m3Tal,late
65,7a9i9ia,real
66,haqiqia,real
67,3adi,normal
68,gadd,able
69,bsiT,simple
70,basiT,simple
71,m399d,complex
72,m3a99ad,complex
73,m3e99ed,complex
74,m3a99ed,complex
75,t9il,slow
76,tqil,slow
77,t9il,heavy
78,tqil,heavy
79,was3,wide
80,waas3,wide
81,wase3,wide
82,wasa3,wide
83,nachT,happy
84,nacheT,happy
85,n9i,clean
86,nqi,clean
87,khayb,bad
88,khayeb,bad
89,5ayb,bad
90,3aadil,fair
91,3adil,fair
92,ghany,rich
93,ghani,rich
94,fa9ir,poor
95,faqir,poor
96,Tabi3i,natural
97,Taby3i,natural
98,mfrou9,separate
99,mafrou9,separate
100,mefro9,separate
101,mafro9,separate
102,mch8our,famous
103,mech8our,famous
104,mch8or,famous
105,mach8our,famous
106,fr7an,glad
107,far7an,glad
108,fer7an,glad
109,farhan,glad
110,dourijin,original
111,dorijin,original
112,khayf,afraid
113,5ayf,afraid
114,khayef,afraid
115,5ayef,afraid
116,Dakhm,huge
117,Da5m,huge
118,3imla9,giant
119,za8i,cheerful
120,zaa8i,cheerful
121,zahi,cheerful
122,zaahi,cheerful
123,fakhour,proud
124,fakhor,proud
125,fa5our,proud
126,fa5or,proud
127,raDi,satisfied
128,raaDi,satisfied
129,7azin,sad
130,nadm,regretful
131,naadm,regretful
132,naadem,regretful
133,mkta2b,depressed
134,mkta2b,depressed
135,mekta2eb,depressed
136,mekta2ab,depressed
137,mskin,miserable
138,meskin,miserable
139,maskin,miserable
140,miskin,miserable
141,mrta7,comfortable
142,merta7,comfortable
143,marta7,comfortable
144,mchghoul,busy
145,mchghol,busy
146,mechghoul,busy
147,machghoul,busy
148,mchTon,worried
149,mchToun,worried
150,mechTon,worried
151,machToun,worried
152,m3SSb,nervous
153,m3eSSeb,nervous
154,m3aSSab,nervous
155,m3aSSeb,nervous
156,mochaghib,troublemaker
157,mochaaghib,troublemaker
158,ghDban,angry
159,ghaDban,angry
160,gheDban,angry
161,mrg,embarrassed
162,mreg,embarrassed
163,mrag,embarrassed
164,7chman,shy
165,7echman,shy
166,7achman,shy
167,kalm,calm
168,calm,calm
169,wa7id,lonely
170,wa7yd,lonely
171,wahid,lonely
172,mnba8er,amazed
173,mnba8ar,amazed
174,mnba8r,amazed
175,menba8ar,amazed
176,mstghrb,astonished
177,msteghreb,astonished
178,mstaghreb,astonished
179,mestaghreb,astonished
180,mchoki,shocked
181,mrwwn,confused
182,mrewwen,confused
183,mrawwen,confused
184,mtredded,hesitant
185,mtradded,hesitant
186,mtraddad,hesitant
187,3yyan,tired
188,3eyyan,tired
